Date,Open,High,Low,Close
1981-09-15,0.8343,0.8343,0.8343,0.8343
1981-09-16,0.8453,0.8453,0.8453,0.8453
1981-09-17,0.8554,0.8554,0.8554,0.8554
1981-09-18,0.8592,0.8592,0.8592,0.8592
1981-09-21,0.8746,0.8746,0.8746,0.8746
1981-09-22,0.8546,0.8546,0.8546,0.8546
1981-09-23,0.8479,0.8479,0.8479,0.8479
1981-09-24,0.8419,0.8419,0.8419,0.8419
1981-09-25,0.8395,0.8395,0.8395,0.8395
1981-09-28,0.8334,0.8334,0.8334,0.8334
1981-09-29,0.844,0.844,0.844,0.844
1981-09-30,0.8389,0.8389,0.8389,0.8389
1981-10-01,0.8395,0.8395,0.8395,0.8395
1981-10-02,0.8501,0.8501,0.8501,0.8501
1981-10-05,0.8765,0.8765,0.8765,0.8765
1981-10-06,0.8658,0.8658,0.8658,0.8658
1981-10-07,0.8789,0.8789,0.8789,0.8789
1981-10-08,0.884,0.884,0.884,0.884
1981-10-09,0.8903,0.8903,0.8903,0.8903
1981-10-13,0.8779,0.8779,0.8779,0.8779
1981-10-14,0.8775,0.8775,0.8775,0.8775
1981-10-15,0.8747,0.8747,0.8747,0.8747
1981-10-16,0.8714,0.8714,0.8714,0.8714
1981-10-19,0.8734,0.8734,0.8734,0.8734
1981-10-20,0.8718,0.8718,0.8718,0.8718
1981-10-21,0.858,0.858,0.858,0.858
1981-10-22,0.8548,0.8548,0.8548,0.8548
1981-10-23,0.8572,0.8572,0.8572,0.8572
1981-10-26,0.8442,0.8442,0.8442,0.8442
1981-10-27,0.8459,0.8459,0.8459,0.8459
1981-10-28,0.8512,0.8512,0.8512,0.8512
1981-10-29,0.8591,0.8591,0.8591,0.8591
1981-10-30,0.8693,0.8693,0.8693,0.8693
1981-11-02,0.8773,0.8773,0.8773,0.8773
1981-11-04,0.8817,0.8817,0.8817,0.8817
1981-11-05,0.8767,0.8767,0.8767,0.8767
1981-11-06,0.8777,0.8777,0.8777,0.8777
1981-11-09,0.8843,0.8843,0.8843,0.8843
1981-11-10,0.8749,0.8749,0.8749,0.8749
1981-11-12,0.8819,0.8819,0.8819,0.8819
1981-11-13,0.8777,0.8777,0.8777,0.8777
1981-11-16,0.8702,0.8702,0.8702,0.8702
1981-11-17,0.8662,0.8662,0.8662,0.8662
1981-11-18,0.8722,0.8722,0.8722,0.8722
1981-11-19,0.869,0.869,0.869,0.869
1981-11-20,0.8633,0.8633,0.8633,0.8633
1981-11-23,0.8657,0.8657,0.8657,0.8657
1981-11-24,0.8744,0.8744,0.8744,0.8744
1981-11-25,0.8739,0.8739,0.8739,0.8739
1981-11-27,0.8801,0.8801,0.8801,0.8801
1981-11-30,0.8809,0.8809,0.8809,0.8809
1981-12-01,0.8769,0.8769,0.8769,0.8769
1981-12-02,0.8793,0.8793,0.8793,0.8793
1981-12-03,0.8737,0.8737,0.8737,0.8737
1981-12-04,0.8759,0.8759,0.8759,0.8759
1981-12-07,0.8702,0.8702,0.8702,0.8702
1981-12-08,0.8672,0.8672,0.8672,0.8672
1981-12-09,0.8702,0.8702,0.8702,0.8702
1981-12-10,0.8653,0.8653,0.8653,0.8653
1981-12-11,0.8626,0.8626,0.8626,0.8626
1981-12-14,0.8542,0.8542,0.8542,0.8542
1981-12-15,0.8598,0.8598,0.8598,0.8598
1981-12-16,0.8563,0.8563,0.8563,0.8563
1981-12-17,0.8567,0.8567,0.8567,0.8567
1981-12-18,0.8509,0.8509,0.8509,0.8509
1981-12-21,0.8539,0.8539,0.8539,0.8539
1981-12-22,0.8581,0.8581,0.8581,0.8581
1981-12-23,0.8572,0.8572,0.8572,0.8572
1981-12-24,0.8598,0.8598,0.8598,0.8598
1981-12-28,0.8593,0.8593,0.8593,0.8593
1981-12-29,0.8586,0.8586,0.8586,0.8586
